locale,locale_name,storefront,primary,name,subtitle,keywords,description,category,in_app_purchases
en-AU,English (Australia),au,,Charady: Act It Out Night,Pass the phone and act,"charades,heads up,headbands,guess,word,party,friends,family,act it out,who am i,offline,decks,tilt","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,Charady Weekly - $6.99 | Charady Yearly - $29.99 | Charady Lifetime - $34.99
en-CA,English (Canada),ca,,Charady: Forehead Party,"Guess the word, party on","charades,heads up,headbands,guess,word,party,friends,family,act it out,who am i,offline,decks,tilt","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,Charady Weekly - $6.99 | Charady Yearly - $34.99 | Charady Lifetime - $39.99
en-US,English (U.S.),us,yes,Charady: Party Guess Game,Forehead charades with friends,"charades,heads up,headbands,guess,word,party,friends,family,act it out,who am i,offline,decks,tilt","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,Charady Weekly - $4.99 | Charady Yearly - $24.99 | Charady Lifetime - $29.99
fi,Finnish,fi,,Charady: Hauska arvauspeli,Arvaa sana kavereiden kanssa,"charades,heads up,arvaus,bileet,sanat,ystävät,perhe,otsa,offline,party","Näyttele. Arvaa sana. Naurakaa yhdessä.\n\nCharady on ultimate otsa-charades-bilepeli kavereille ja perheelle. Yksi pelaaja pitää puhelinta otsalla, muut antavat vihjeitä ja kallistat oikein tai ohita. Yksinkertaiset säännöt. Paljon pakkoja. Biletunnelma heti.\n\nNÄIN PELATAAN\n1. Valitse fiilikseen sopiva pakka\n2. Pidä puhelinta otsalla, jotta kaverit näkevät sanan\n3. Kaverit näyttelevät tai kuvailevat — ilman sanaa\n4. Kallista alas jos oikein, ylös ohittaaksesi\n5. Voita kello ja anna puhelin seuraavalle\n\nMIKSI CHARADY\n• Klassiset charades ryhmille\n• Kymmeniä teemapakkoja\n• Luo omia pakkoja\n• Pelaa offline\n• Nopeat kierrokset bileisiin ja matkoille\n• Perheystävälliset sanapaketit\n\nTäydellinen peli-iltaan ja lisää naurua. Yksi puhelin. Koko porukka. Puhdasta charades-kaaosta.\n\nSupport: teamo.touch@gmail.com\n\nTietosuoja:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nKäyttöehdot:\nhttps://teamo-couple.web.app/charady-terms.html",Sanapelit,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
fr-FR,French,fr,,Charady: Soirée mimées,Mime et devine en groupe,"charades,heads up,mime,soirée,mots,amis,famille,devine,front,jeu,offline,party","Mimez. Devinez le mot. Riez ensemble.\n\nCharady est le jeu de charades ultime sur le front pour amis et famille. Un joueur tient le téléphone sur son front, les autres donnent des indices, vous inclinez pour valider ou passer. Règles simples. Des tas de paquets. Ambiance fête immédiate.\n\nCOMMENT JOUER\n1. Choisissez un paquet qui colle à l'ambiance\n2. Tenez le téléphone sur votre front pour que les amis voient le mot\n3. Les amis miment ou décrivent — sans dire le mot\n4. Inclinez vers le bas si correct, vers le haut pour passer\n5. Battez le chrono et passez le téléphone\n\nPOURQUOI CHARADY\n• Charades classiques pour groupes\n• Des dizaines de thèmes — films, animaux, nourriture et plus\n• Créez vos paquets personnalisés\n• Jouez hors ligne\n• Manches rapides pour soirées, voyages et brise-glace\n• Paquets de mots adaptés à la famille\n\nParfait pour une soirée jeux, une fête à la maison et les rires. Un téléphone. Tout le groupe. Le chaos des charades.\n\nSupport: teamo.touch@gmail.com\n\nPolitique de confidentialité:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nConditions d'utilisation:\nhttps://teamo-couple.web.app/charady-terms.html",Mots,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
fr-CA,French (Canada),ca,,Charady: Charades en fête,"Téléphone au front, ris","charades,heads up,mime,fête,mots,amis,famille,devine,front,jeu,offline,party","Mimez. Devinez le mot. Riez ensemble.\n\nCharady est le jeu de charades ultime sur le front pour amis et famille. Un joueur tient le téléphone sur son front, les autres donnent des indices, vous inclinez pour valider ou passer. Règles simples. Plein de paquets. Ambiance fête instantanée.\n\nCOMMENT JOUER\n1. Choisissez un paquet selon l'ambiance\n2. Tenez le téléphone sur votre front pour que les amis voient le mot\n3. Les amis miment ou décrivent — sans dire le mot\n4. Inclinez vers le bas si correct, vers le haut pour passer\n5. Battez le chrono et passez le téléphone\n\nPOURQUOI CHARADY\n• Charades classiques pour groupes\n• Des dizaines de thèmes — films, animaux, nourriture et plus\n• Créez vos paquets perso\n• Jouez hors ligne\n• Manches rapides pour fêtes, voyages et brise-glace\n• Paquets de mots familiaux\n\nParfait pour une soirée jeux et plus de rires. Un téléphone. Tout le groupe. Chaos de charades.\n\nSupport: teamo.touch@gmail.com\n\nPolitique de confidentialité:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nConditions d'utilisation:\nhttps://teamo-couple.web.app/charady-terms.html",Mots,Charady Weekly - $6.99 | Charady Yearly - $34.99 | Charady Lifetime - $39.99
de-DE,German,de,,Charady: Party Ratespiel,Stirnspiel mit Freunden,"charades,heads up,headbands,partyspiel,raten,wort,freunde,familie,stirn,pantomime,offline,decks","Spiele es vor. Rate das Wort. Lacht zusammen.\n\nCharady ist das ultimative Stirn-Charades-Partyspiel für Freunde und Familie. Ein Spieler hält das Handy an die Stirn, alle anderen geben Hinweise, du kippst für richtig oder weiter. Einfache Regeln. Viele Decks. Sofortige Partystimmung.\n\nSO SPIELT IHR\n1. Wählt ein Deck, das zu euch passt\n2. Haltet das Handy an die Stirn, damit Freunde das Wort sehen\n3. Freunde spielen vor oder beschreiben — ohne das Wort zu sagen\n4. Nach unten kippen für richtig, nach oben zum Überspringen\n5. Schlagt die Uhr und gebt das Handy weiter\n\nWARUM CHARADY\n• Klassisches Stirnspiel für Gruppen\n• Viele Themen-Decks — Filme, Tiere, Essen und mehr\n• Eigene Decks für Insider-Witze\n• Offline spielen\n• Schnelle Runden für Party, Reise und Eisbrecher\n• Familienfreundliche Wortpacks\n\nPerfekt für Spieleabend, Hausparty und unterwegs. Ein Handy. Die ganze Gruppe. Reines Charades-Chaos.\n\nSupport: teamo.touch@gmail.com\n\nDatenschutz:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nNutzungsbedingungen:\nhttps://teamo-couple.web.app/charady-terms.html",Wortspiele,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
el,Greek,gr,,Charady: Πάρτι μίμησης,Μάντεψε με φίλους,"charades,heads up,μίμηση,πάρτι,λέξεις,φίλοι,οικογένεια,offline","Παίκτε το. Μαντέψτε τη λέξη. Γελάστε μαζί.\n\nΤο Charady είναι το απόλυτο παιχνίδι charades στο μέτωπο για φίλους και οικογένεια. Ένας παίκτης κρατά το τηλέφωνο στο μέτωπο, οι άλλοι δίνουν στοιχεία και εσύ γέρνεις για σωστό ή παράλειψη. Απλοί κανόνες. Πολλές τράπουλες. Ενέργεια πάρτι αμέσως.\n\nΠΩΣ ΠΑΙΖΕΤΕ\n1. Διαλέξτε τράπουλα που ταιριάζει στη διάθεση\n2. Κρατήστε το τηλέφωνο στο μέτωπο για να βλέπουν τη λέξη\n3. Οι φίλοι παίζουν ή περιγράφουν — χωρίς να πουν τη λέξη\n4. Γείρετε κάτω αν σωστό, πάνω για παράλειψη\n5. Κερδίστε το ρολόι και δώστε το τηλέφωνο\n\nΓΙΑΤΙ CHARADY\n• Κλασικά charades για παρέες\n• Δεκάδες θεματικές τράπουλες\n• Φτιάξτε δικές σας\n• Παίξτε offline\n• Γρήγοροι γύροι για πάρτι και ταξίδια\n• Οικογενειακά πακέτα λέξεων\n\nΙδανικό για βραδιά παιχνιδιών και περισσότερο γέλιο. Ένα τηλέφωνο. Όλη η παρέα. Καθαρό χάος charades.\n\nSupport: teamo.touch@gmail.com\n\nΠολιτική απορρήτου:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nΌροι χρήσης:\nhttps://teamo-couple.web.app/charady-terms.html",Λέξεις,"Charady Weekly - 5,99 € | Charady Yearly - 24,99 € | Charady Lifetime - 29,99 €"
gu-IN,Gujarati,in,,Charady: Act & Guess,Guess the word with friends,"charades,heads up,headbands,guess,word,party,friends,family,act it out,forehead,offline,group,fun","Act it out. Guess the word. Laugh together.\n\nCharady is the ultimate forehead charades party game for friends and family. One player holds the phone up, everyone else gives clues, and you tilt to keep the round flying. Simple rules. Endless decks. Instant party energy.\n\nHOW TO PLAY\n1. Pick a deck that matches your vibe\n2. Hold the phone to your forehead so friends can see the word\n3. Friends act, describe, or mime — no saying the word\n4. Tilt down for correct, tilt up to pass\n5. Beat the clock and pass the phone to the next player\n\nWHY CHARADY\n• Classic forehead charades made for groups\n• Dozens of themed decks — movies, animals, food, brands, and more\n• Create custom decks for inside jokes and family nights\n• Offline play — no Wi-Fi required for local games\n• Quick rounds built for parties, road trips, and icebreakers\n• Clean, family-friendly word packs\n\nPerfect for game night, house parties, travel, and any room that needs more laughs. One phone. Whole group. Pure charades chaos.\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",Word,"Charady Weekly - ₹ 399 | Charady Yearly - ₹ 1,999 | Charady Lifetime - ₹ 2,499"
he,Hebrew,il,,Charady: משחק ניחושים,נחש עם חברים,"charades,heads up,ניחושים,מסיבה,מילים,חברים,משפחה,offline","שחקו את זה. נחשו את המילה. צחקו יחד.\n\nCharady הוא משחק ה-charades האולטימטיבי על המצח לחברים ומשפחה. שחקן אחד מחזיק את הטלפון על המצח, האחרים נותנים רמזים, ואתם מטים לנכון או לדילוג. חוקים פשוטים. המון חפיסות. אנרגיית מסיבה מיד.\n\nאיך משחקים\n1. בחרו חפיסה שמתאימה לאווירה\n2. החזיקו את הטלפון על המצח כדי שהחברים יראו את המילה\n3. החברים מציגים או מתארים — בלי לומר את המילה\n4. הטו למטה אם נכון, למעלה כדי לדלג\n5. נצחו את השעון והעבירו את הטלפון\n\nלמה CHARADY\n• Charades קלאסי לקבוצות\n• עשרות חפיסות נושא\n• צרו חפיסות מותאמות\n• שחקו אופליין\n• סיבובים מהירים למסיבות ונסיעות\n• חבילות מילים משפחתיות\n\nמושלם לליל משחקים ועוד צחוקים. טלפון אחד. כל הקבוצה. כאוס charades טהור.\n\nSupport: teamo.touch@gmail.com\n\nמדיניות פרטיות:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nתנאי שימוש:\nhttps://teamo-couple.web.app/charady-terms.html",משחקי מילים,Charady Weekly - ‏19.90 ‏₪ | Charady Yearly - ‏79.90 ‏₪ | Charady Lifetime - ‏99.90 ‏₪
hi,Hindi,in,,Charady: Word Guess Night,दोस्तों के साथ अनुमान लगाओ,"charades,heads up,headbands,guess,word,party,दोस्त,परिवार,अनुमान,offline,forehead,act","अभिनय करो. शब्द का अनुमान लगाओ. साथ में हंसो.\n\nCharady दोस्तों और परिवार के लिए अल्टीमेट फॉरहेड charades पार्टी गेम है। एक खिलाड़ी फोन माथे पर रखता है, बाकी संकेत देते हैं, और आप झुकाकर राउंड आगे बढ़ाते हैं। आसान नियम। ढेर सारे डेक। तुरंत पार्टी मज़ा।\n\nकैसे खेलें\n1. अपनी मूड के हिसाब से डेक चुनें\n2. फोन माथे पर रखें ताकि दोस्त शब्द देख सकें\n3. दोस्त अभिनय या इशारे करें — शब्द न बोलें\n4. सही पर नीचे झुकाएं, पास के लिए ऊपर\n5. घड़ी से पहले अनुमान लगाएं और फोन आगे दें\n\nCharady क्यों\n• ग्रुप के लिए क्लासिक forehead charades\n• कई थीम वाले डेक — फिल्में, जानवर, खाना और अधिक\n• कस्टम डेक बनाएं\n• ऑफलाइन खेलें\n• पार्टी, यात्रा और आइसब्रेकर के लिए तेज़ राउंड\n• परिवार के अनुकूल शब्द पैक\n\nगेम नाइट, पार्टी और हंसी के लिए एकदम सही। एक फोन। पूरा ग्रुप। शुद्ध charades मस्ती।\n\nSupport: teamo.touch@gmail.com\n\nPrivacy Policy:\nhttps://teamo-couple.web.app/charady-privacy.html\n\nTerms of Use:\nhttps://teamo-couple.web.app/charady-terms.html",शब्द,"Charady Weekly - ₹ 399 | Charady Yearly - ₹ 1,999 | Charady Lifetime - ₹ 2,499"
